category,count
Exhibition,14880
Reception,13985
Talk,6173
Performance,5583
Screening,2652
workshop,2440
Fundraiser,437
Artist Talk,398
sale,377
Release Party,272
Festival,236
Tour,205
Book Release,193
Party,152
EVENT CANCELED,150
Bad at Sports Top V List,138
Fair,127
Reading,114
Panel,90
Open Studio,71
Symposium,42
Auction,41
lecture,34
Curator Talk,20
Book Signing,20
Presentation,12
Rally,8
Residency,8
Community Meeting,5
Parade,3
Birthday Party,3
Internet Colaborative/Curated Content,2
Public Art,2
Chicago Galleries abroad,2
commencement,1
Chicago Reader,1
Grant,1
Slideshow Presentation,1
